title,Year,certificate,genre,details,lead_actors,gross collected
All About Eve,1950,Passed,Drama,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Bette Davis,0.01
The Treasure of the Sierra Madre,1948,Passed,Adventure,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,Humphrey Bogart,5.01
To Be or Not to Be,1942,Passed,Comedy,During the Nazi occupation of Poland an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.,Carole Lombard,0
The Gold Rush,1925,Passed,Adventure,A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune and is smitten with a girl he sees in a dance hall.,Charles Chaplin,5.45
Sherlock Jr.,1924,Passed,Action,A film projectionist longs to be a detective and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.,Buster Keaton,0.98
Three Billboards Outside Ebbing Missouri,2017,R,Comedy,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,Frances McDormand,54.51
The Handmaiden,2016,Not Rated,Drama,A woman is hired as a handmaiden to a Japanese heiress but secretly she is involved in a plot to defraud her.,Kim Min-hee,2.01
Logan,2017,R,Action,In a future where mutants are nearly extinct an elderly and weary Logan leads a quiet life. But when Laura a mutant child pursued by scientists comes to him for help he must get her to safety.,Hugh Jackman,226.28
Room,2015,R,Drama,Held captive for 7 years in an enclosed space a woman and her young son finally gain their freedom allowing the boy to experience the outside world for the first time.,Brie Larson,14.68
Wild Tales,2014,R,Comedy,Six short stories that explore the extremities of human behavior involving people in distress.,Darío Grandinetti,3.11
The Grand Budapest Hotel,2014,R,Adventure,A writer encounters the owner of an aging high-class hotel who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.,Ralph Fiennes,59.1
Gone Girl,2014,R,Drama,With his wife's disappearance having become the focus of an intense media circus a man sees the spotlight turned on him when it's suspected that he may not be innocent.,Ben Affleck,167.77
Hacksaw Ridge,2016,R,Biography,World War II American Army Medic  who served during the Battle of Okinawa refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.,Andrew Garfield,67.21
Inside Out,2015,PG,Animation,After young Riley is uprooted from her Midwest life and moved to San Francisco her emotions - Joy Fear Anger Disgust and Sadness - conflict on how best to navigate a new city house and school.,Ronnie Del Carmen,356.46
12 Years a Slave,2013,R,Biography,In the antebellum United States  a free black man from upstate New York is abducted and sold into slavery.,Chiwetel Ejiofor,56.67
Rush,2013,R,Action,The merciless 1970s rivalry between Formula One rivals  and .,Daniel Brühl,26.95
Ford v Ferrari,2019,PG-13,Action,American car designer  and driver  battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,Matt Damon,117.62
Spotlight,2015,R,Biography,The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese shaking the entire Catholic Church to its core.,Mark Ruffalo,45.06
Prisoners,2013,R,Crime,When Keller Dover's daughter and her friend go missing he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.,Hugh Jackman,61
Mad Max: Fury Road,2015,R,Action,In a post-apocalyptic wasteland a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners a psychotic worshiper and a drifter named Max.,Tom Hardy,154.06
Warrior,2011,PG-13,Action,The youngest son of an alcoholic former boxer returns home where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged older brother.,Tom Hardy,13.66
Gran Torino,2008,R,Drama,Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor Thao Lor a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.,Clint Eastwood,148.1
Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,Adventure,Harry Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.,Daniel Radcliffe,381.01
Hachi: A Dog's Tale,2009,G,Biography,A college professor bonds with an abandoned dog he takes into his home.,Richard Gere,0
Mary and Max,2009,Not Rated,Animation,A tale of friendship between two unlikely pen pals: Mary a lonely eight-year-old girl living in the suburbs of Melbourne and Max a forty-four-year old severely obese man living in New York.,Toni Collette,0
How to Train Your Dragon,2010,PG,Animation,A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself and learns there may be more to the creatures than he assumed.,Chris Sanders,217.58
Into the Wild,2007,R,Adventure,After graduating from Emory University top student and athlete Christopher McCandless abandons his possessions gives his entire $24000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way Christopher encounters a series of characters that shape his life.,Emile Hirsch,18.35
No Country for Old Men,2007,R,Crime,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,Joel Coen,74.28
V for Vendetta,2005,R,Action,"In a future British tyranny a shadowy freedom fighter known only by the alias of ""V"" plots to overthrow it with the help of a young woman.",Hugo Weaving,70.51
Million Dollar Baby,2004,PG-13,Drama,A determined woman works with a hardened boxing trainer to become a professional.,Hilary Swank,100.49
Hotel Rwanda,2004,PG-13,Biography, a hotel manager houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda Africa.,Don Cheadle,23.53
Before Sunset,2004,R,Drama,Nine years after Jesse and Celine first met they encounter each other again on the French leg of Jesse's book tour.,Ethan Hawke,5.82
Memories of Murder,2003,Not Rated,Crime,In a small Korean province in 1986 two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.,Kang-ho Song,0.01
Kill Bill: Vol. 1,2003,R,Action,After awakening from a four-year coma a former assassin wreaks vengeance on the team of assassins who betrayed her.,Uma Thurman,70.1
Finding Nemo,2003,G,Animation,After his son is captured in the Great Barrier Reef and taken to Sydney a timid clownfish sets out on a journey to bring him home.,Lee Unkrich,380.84
Catch Me If You Can,2002,PG-13,Biography,Barely 21 yet Frank is a skilled forger who has passed as a doctor lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man who only revels in the pursuit.,Leonardo DiCaprio,164.62
Amores perros,2000,R,Drama,A horrific car accident connects three stories each involving characters dealing with loss regret and life's harsh realities all in the name of love.,Emilio Echevarría,5.38
Monsters Inc.,2001,G,Animation,In order to power the city monsters have to scare children so that they scream. However the children are toxic to the monsters and after a child gets through two monsters realize things may not be what they think.,David Silverman,289.92
Neon Genesis Evangelion: The End of Evangelion,1997,TV-MA,Animation,Concurrent theatrical ending of the TV series  (1995).,Kazuya Tsurumaki,0
The Sixth Sense,1999,PG-13,Drama,A frightened withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.,Bruce Willis,293.51
The Truman Show,1998,PG,Comedy,An insurance salesman discovers his whole life is actually a reality TV show.,Jim Carrey,125.62
The Big Lebowski,1998,R,Comedy,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski mistaken for a millionaire of the same name seeks restitution for a rug ruined by debt collectors enlisting his bowling buddies for help while trying to find the millionaire's missing wife.",Ethan Coen,17.5
In the Mood for Love,2000,PG,Drama,Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However they agree to keep their bond platonic so as not to commit similar wrongs.,Tony Chiu-Wai Leung,2.73
Trainspotting,1996,R,Drama,Renton deeply immersed in the Edinburgh drug scene tries to clean up and get out despite the allure of the drugs and influence of friends.,Ewan McGregor,16.5
Fargo,1996,R,Crime,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,Ethan Coen,24.61
La Haine,1995,Not Rated,Crime,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Vincent Cassel,0.31
Before Sunrise,1995,R,Drama,A young man and woman meet on a train in Europe and wind up spending one evening together in Vienna. Unfortunately both know that this will probably be their only night together.,Ethan Hawke,5.54
Jurassic Park,1993,PG-13,Action,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Sam Neill,402.45
In the Name of the Father,1993,R,Biography,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,Daniel Day-Lewis,25.01
Dead Poets Society,1989,PG,Comedy,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,Robin Williams,95.86
The Princess Bride,1987,PG,Adventure,While homesick in bed a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles enemies and allies in his quest to be reunited with his true love.,Cary Elwes,30.86
Stand by Me,1986,R,Adventure,After the death of one of his friends a writer recounts a childhood journey with his friends to find the body of a missing boy.,Wil Wheaton,52.29
Platoon,1986,R,Drama,Chris Taylor a neophyte recruit in Vietnam finds himself caught in a battle of wills between two sergeants one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.,Charlie Sheen,138.53
Paris Texas,1984,R,Drama,Travis Henderson an aimless drifter who has been missing for four years wanders out of the desert and must reconnect with society himself his life and his family.,Harry Dean Stanton,2.18
Nausicaä of the Valley of the Wind,1984,PG,Animation,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,Sumi Shimamoto,0.5
The Thing,1982,R,Horror,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,Kurt Russell,13.78
Fanny and Alexander,1982,R,Drama,Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family the Ekdahls.,Bertil Guve,4.97
Blade Runner,1982,R,Action,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,Harrison Ford,32.87
The Elephant Man,1980,PG,Biography,A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade there is revealed a person of kindness intelligence and sophistication.,Anthony Hopkins,0
Stalker,1979,Not Rated,Drama,A guide leads two men through an area known as the Zone to find a room that grants wishes.,Alisa Freyndlikh,0.23
Life of Brian,1979,R,Comedy,Born on the original Christmas in the stable next door to  Brian of Nazareth spends his life being mistaken for a messiah.,Graham Chapman,20.05
The Deer Hunter,1978,R,Drama,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,Robert De Niro,48.98
Rocky,1976,PG,Drama,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,Sylvester Stallone,117.24
Network,1976,R,Drama,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit but finds that his message may be difficult to control.,Faye Dunaway,0
Barry Lyndon,1975,PG,Adventure,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Ryan O'Neal,0
Cool Hand Luke,1967,GP,Crime,A laid back Southern man is sentenced to two years in a rural prison but refuses to conform.,Paul Newman,16.22
Persona,1966,Not Rated,Drama,A nurse is put in charge of a mute actress and finds that their personae are melding together.,Bibi Andersson,0
Andrei Rublev,1966,R,Biography,The life times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.,Anatoliy Solonitsyn,0.1
The Battle of Algiers,1966,Not Rated,Drama,In the 1950s fear and violence escalate as the people of Algiers fight for independence from the French government.,Brahim Hadjadj,0.06
The 400 Blows,1959,Not Rated,Crime,A young boy left without attention delves into a life of petty crime.,Jean-Pierre Léaud,0
Ben-Hur,1959,G,Adventure,After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem he regains his freedom and comes back for revenge.,Charlton Heston,74.7
Nights of Cabiria,1957,Not Rated,Drama,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,Giulietta Masina,0.75
The Bridge on the River Kwai,1957,PG,Adventure,British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.,William Holden,44.91
On the Waterfront,1954,Approved,Crime,An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses including his older brother as he starts to connect with the grieving sister of one of the syndicate's victims.,Marlon Brando,9.6
The Wages of Fear,1953,Not Rated,Adventure,In a decrepit South American village four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.,Yves Montand,0
The Third Man,1949,Approved,Film-Noir,Pulp novelist Holly Martins travels to shadowy postwar Vienna only to find himself investigating the mysterious death of an old friend Harry Lime.,Orson Welles,0.45
Rebecca,1940,Approved,Drama,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Laurence Olivier,4.36
Mr. Smith Goes to Washington,1939,Passed,Comedy,A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington but he tries to forge ahead despite attacks on his character.,James Stewart,9.6
Gone with the Wind,1939,Passed,Drama,The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.,George Cukor,198.68
It Happened One Night,1934,Passed,Comedy,A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York and they end up stuck with each other when the bus leaves them behind at one of the stops.,Clark Gable,4.36
The Passion of Joan of Arc,1928,Passed,Biography,In 1431 Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.,Maria Falconetti,0.02
The General,1926,Passed,Action,After being rejected by the Confederate military not realizing it was due to his crucial civilian role an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.,Buster Keaton,1.03
Breaking Bad,2008,TV-MA,Crime,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,Aaron Paul,0
Game of Thrones,2011,TV-MA,Action,Nine noble families fight for control over the lands of Westeros while an ancient enemy returns after being dormant for millennia.,Peter Dinklage,0
Chernobyl,2019,TV-MA,Drama,In April 1986 an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.,Jared Harris,0
Band of Brothers,2001,TV-MA,Drama,The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe from Operation Overlord to V-J Day.,Damian Lewis,0
Sherlock,2010,TV-14,Crime,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,Martin Freeman,0
Rick and Morty,2013,TV-MA,Animation,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,Chris Parnell,0
The Wire,2002,TV-MA,Crime,The Baltimore drug scene as seen through the eyes of drug dealers and law enforcement.,Lance Reddick,0
Avatar: The Last Airbender,2005,TV-Y7-FV,Animation,In a war-torn world of elemental magic a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar and bring peace to the world.,Zach Tyler Eisen,0
The Sopranos,1999,TV-MA,Crime,New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state leading him to seek professional psychiatric counseling.,Lorraine Bracco,0
Friends,1994,TV-PG,Comedy,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,Courteney Cox,0
True Detective,2014,TV-MA,Crime,Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved both within and outside the law.,Colin Farrell,0
Stranger Things,2016,TV-14,Drama,When a young boy disappears his mother a police chief and his friends must confront terrifying supernatural forces in order to get him back.,Finn Wolfhard,0
The Office,2005,TV-14,Comedy,A mockumentary on a group of typical office workers where the workday consists of ego clashes inappropriate behavior and tedium.,Jenna Fischer,0
Death Note,2006,TV-14,Animation,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,Brad Swaile,0
Black Mirror,2011,TV-MA,Drama,An anthology series exploring a twisted high-tech multiverse where humanity's greatest innovations and darkest instincts collide.,Hannah John-Kamen,0
Fargo,2014,TV-MA,Crime,Various chronicles of deception intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo North Dakota.,Martin Freeman,0
Attack on Titan,2013,TV-MA,Animation,After his hometown is destroyed and his mother is killed young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.,Marina Inoue,0
Firefly,2002,TV-14,Adventure,Five hundred years in the future a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.,Gina Torres,0
Peaky Blinders,2013,TV-MA,Crime,A gangster family epic set in 1900s England centering on a gang who sew razor blades in the peaks of their caps and their fierce boss Tommy Shelby.,Paul Anderson,0
Narcos,2015,TV-MA,Biography,A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar as well as the many other drug kingpins who plagued the country through the years.,Lizbeth Eden,0
Dexter,2006,TV-MA,Crime,He's smart. He's lovable. He's Dexter Morgan America's favorite serial killer who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series.,Jennifer Carpenter,0
The Mandalorian,2019,TV-14,Action,The travels of a lone bounty hunter in the outer reaches of the galaxy far from the authority of the New Republic.,Carl Weathers,0
Better Call Saul,2015,TV-MA,Crime,The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque New Mexico.,Rhea Seehorn,0
House of Cards,2013,TV-MA,Drama,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,Michel Gill,0
Dark,2017,TV-MA,Crime,A family saga with a supernatural twist set in a German town where the disappearance of two young children exposes the relationships among four families.,Karoline Eichhorn,0
Fullmetal Alchemist: Brotherhood,2009,TV-14,Animation,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,Iemasa Kayumi,0
House,2004,TV-14,Drama,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,Omar Epps,0
Arcane,2021,TV-14,Animation,Set in utopian Piltover and the oppressed underground of Zaun the story follows the origins of two iconic League champions-and the power that will tear them apart.,Kevin Alejandro,0
Seinfeld,1989,TV-PG,Comedy,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,Julia Louis-Dreyfus,0
South Park,1997,TV-MA,Animation,Follows the misadventures of four irreverent grade-schoolers in the quiet dysfunctional town of South Park Colorado.,Matt Stone,0
Westworld,2016,TV-MA,Drama,Set at the intersection of the near future and the reimagined past explore a world in which every human appetite can be indulged without consequence.,Jeffrey Wright,0
The Boys,2019,TV-MA,Action,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,Jack Quaid,0
Arrested Development,2003,TV-14,Comedy,Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled dysfunctional family are making his job unbearable.,Michael Cera,0
Daredevil,2015,TV-MA,Action,A blind lawyer by day vigilante by night. Matt Murdock fights the crime of New York as Daredevil.,Vincent D'Onofrio,0
The Simpsons,1989,TV-PG,Animation,The satiric adventures of a working-class family in the misfit city of Springfield.,Nancy Cartwright,0
The Queen's Gambit,2020,TV-MA,Drama,Orphaned at the tender age of nine prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.,Chloe Pirrie,0
It's Always Sunny in Philadelphia,2005,TV-MA,Comedy,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,Glenn Howerton,0
Vikings,2013,TV-MA,Action,Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.,Gustaf Skarsgård,0
Twin Peaks,1990,TV-MA,Crime,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,Michael Ontkean,0
Batman: The Animated Series,1992,TV-PG,Animation,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,Loren Lester,0
Mr. Robot,2015,TV-MA,Crime,Elliot a brilliant but highly unstable young cyber-security engineer and vigilante hacker becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.,Christian Slater,0
The Walking Dead,2010,TV-14,Drama,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,Norman Reedus,0
How I Met Your Mother,2005,TV-14,Comedy,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,Jason Segel,0
Mindhunter,2017,TV-MA,Crime,Set in the late 1970s two FBI agents are tasked with interviewing serial killers to solve open cases.,Holt McCallany,0
Downton Abbey,2010,TV-PG,Drama,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,Phyllis Logan,0
When They See Us,2019,TV-MA,Biography,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,Caleel Harris,0
Ted Lasso,2020,TV-MA,Comedy,American college football coach Ted Lasso heads to London to manage AFC Richmond a struggling English Premier League soccer team.,Brett Goldstein,0
One Punch Man,2015,TV-PG,Animation,The story of Saitama a hero that does it just for fun & can defeat his enemies with a single punch.,Kaito Ishikawa,0
Parks and Recreation,2009,TV-14,Comedy,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,Jim O'Heir,0
Cowboy Bebop,1998,TV-14,Animation,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,Unshô Ishizuka,0
Supernatural,2005,TV-14,Drama,Two brothers follow their father's footsteps as hunters fighting evil supernatural beings of many kinds including monsters demons and gods that roam the earth.,Jensen Ackles,0
The Twilight Zone,1959,TV-PG,Drama,Ordinary people find themselves in extraordinarily astounding situations which they each try to solve in a remarkable manner.,Robert McCord,0
Mad Men,2007,TV-14,Drama,A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s focusing on one of the firm's most mysterious but extremely talented ad executives Donald Draper.,Elisabeth Moss,0
Hunter x Hunter,2011,TV-14,Animation,Gon Freecss aspires to become a Hunter an exceptional being capable of greatness. With his friends and his potential he seeks for his father who left him when he was younger.,Megumi Han,0
Modern Family,2009,TV-PG,Comedy,Three different but related families face trials and tribulations in their own uniquely comedic ways.,Sofía Vergara,0
Rome,2005,TV-MA,Action,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,Ray Stevenson,0
The Haunting of Hill House,2018,TV-MA,Drama,Flashing between past and present a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.,Carla Gugino,0
Suits,2011,TV-14,Comedy,On the run from a drug deal gone bad brilliant college dropout Mike Ross finds himself working with Harvey Specter one of New York City's best lawyers.,Patrick J. Adams,0
Lost,2004,TV-14,Adventure,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,Josh Holloway,0
The X-Files,1993,TV-14,Crime,Two F.B.I. Agents Fox Mulder the believer and Dana Scully the skeptic investigate the strange and unexplained while hidden forces work to impede their efforts.,Gillian Anderson,0
Battlestar Galactica,2004,TV-14,Action,When an old enemy the Cylons resurface and obliterate the 12 colonies the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony Earth.,Mary McDonnell,0
Doctor Who,2005,TV-PG,Adventure,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,Peter Capaldi,0
Sons of Anarchy,2008,TV-MA,Crime,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,Katey Sagal,0
Prison Break,2005,TV-14,Action,Due to a political conspiracy an innocent man is sent to death row and his only hope is his brother who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out from the inside.,Wentworth Miller,0
Gravity Falls,2012,TV-Y7,Animation,Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls Oregon.,Alex Hirsch,0
Hannibal,2013,TV-MA,Crime,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,Mads Mikkelsen,0
Community,2009,TV-14,Comedy,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,Danny Pudi,0
The Crown,2016,TV-MA,Biography,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,Olivia Colman,0
Freaks and Geeks,1999,TV-14,Comedy,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,John Francis Daley,0
BoJack Horseman,2014,TV-MA,Animation,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s but now he's washed up living in Hollywood complaining about everything and wearing colorful sweaters.",Amy Sedaris,0
Spartacus,2010,TV-MA,Action,The life of Spartacus the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans to his betrayal and becoming a gladiator to the rebellion he leads and its ultimate outcome.,Lucy Lawless,0
Six Feet Under,2001,TV-MA,Comedy,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,Michael C. Hall,0
Shameless,2011,TV-MA,Comedy,A scrappy feisty fiercely loyal Chicago family makes no apologies.,William H. Macy,0
Fleabag,2016,TV-MA,Comedy,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,Sian Clifford,0
The Big Bang Theory,2007,TV-PG,Comedy,A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.,Jim Parsons,0
Dragon Ball Z,1989,TV-PG,Animation,After learning that he is from another planet a warrior named Goku and his friends are prompted to defend it from an onslaught of extraterrestrial enemies.,Christopher Sabat,0
The Punisher,2017,TV-MA,Action,"After the murder of his family Marine veteran Frank Castle becomes the vigilante known as ""The Punisher"" with only one goal in mind: to avenge them.",Amber Rose Revah,0
Brooklyn Nine-Nine,2013,TV-14,Comedy,Comedy series following the exploits of Det. Jake Peralta and his diverse lovable colleagues as they police the NYPD's 99th Precinct.,Stephanie Beatriz,0
One Piece,1999,TV-14,Animation,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate Gold Roger. The famous mystery treasure named ""One Piece"".",Tony Beck,0
Curb Your Enthusiasm,2000,TV-MA,Comedy,The life and times of  and the predicaments he gets himself into with his friends and complete strangers.,Cheryl Hines,0
Archer,2009,TV-MA,Animation,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,Judy Greer,0
Homeland,2011,TV-MA,Crime,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.,Mandy Patinkin,0
Pride and Prejudice,1995,TV-PG,Drama,While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.,Jennifer Ehle,0
Boardwalk Empire,2010,TV-MA,Crime,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,Kelly Macdonald,0
Big Little Lies,2017,TV-MA,Crime,The apparently perfect lives of upper-class mothers at a prestigious elementary school unravel to the point of murder when a single-mother moves to their quaint Californian beach town.,Nicole Kidman,0
Fringe,2008,TV-14,Drama,An F.B.I. agent is forced to work with an institutionalized scientist and his son in order to rationalize a brewing storm of unexplained phenomena.,Joshua Jackson,0
Cobra Kai,2018,TV-14,Action,Decades after their 1984 All Valley Karate Tournament bout a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.,William Zabka,0
Persona,2018,TV-MA,Crime,A man diagnosed with Alzheimer's decides to punish criminals.,Cansu Dere,0
Futurama,1999,TV-14,Animation,Philip J. Fry a pizza delivery boy is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.,John DiMaggio,0
Invincible,2021,TV-MA,Animation,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,J.K. Simmons,0
Money Heist,2017,TV-MA,Action,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,Álvaro Morte,0
Ozark,2017,TV-MA,Crime,A financial advisor drags his family from Chicago to the Missouri Ozarks where he must launder money to appease a drug boss.,Laura Linney,0
